id_municipio,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
3304557,2002,94302738,18074445,76228294,18887,14357625,48707447,13144335
3304557,2003,99307638,18008355,81299283,17585,14470025,52683642,14128031
3304557,2004,118557612,29132538,89425074,26084,16711243,57339760,15347987
3304557,2005,123338521,30464601,92873920,26881,15287030,60736645,16823364
3304557,2006,132586054,32634533,99951521,27239,16686729,65052042,18185511
3304557,2007,144631993,35041073,109590920,25390,16735198,72824256,20006077
3304557,2008,162937567,39861345,123076222,27245,20040326,80446158,22562493
3304557,2009,187409801,39895111,147514689,30141,27134920,95824739,24524889
3304557,2010,208153595,47474155,160679440,30140,27644213,105928383,27076704
3304557,2011,229567799,51330024,178237774,45670,29829624,117479938,30882543
3304557,2012,253200785,57296917,195903868,55552,33695852,129286738,32865726
3304557,2013,284299248,62698657,221600592,65295,38201935,146068744,37264617
3304557,2014,300270152,60503076,239767076,72481,40511991,158781842,40400762
3304557,2015,320186615,70886290,249300325,77795,38292995,167282626,43646909
3304557,2016,328440481,67862082,260578400,81367,36341638,176605866,47549529
3304557,2017,337675255,76521157,261154098,81673,32439016,179872487,48760922
3304557,2018,363403233,92327025,271076208,86011,36120329,184683114,50186754
3304557,2019,354932611,83183959,271748652,91352,35566917,182378608,53711775
3304557,2020,331471515,59979965,271491551,102542,36658253,180313931,54416824
3304557,2021,359634753,79324423,280310329,111267,45685982,177541096,56971984
